Table S1 The original training dataset used in this work.,,,,,,,,,
Alloy No.,"Elemental content, at%",,,,,,,"Hardness, HV",Ref.
,Al,Co,Cr,Cu,Fe,Ni,Mn,,
107,0,16.7,33.3,16.7,16.7,16.7,0,172,10.1016/j.actamat.2018.07.042
108,0,25,25,25,0,25,0,183,10.1016/j.actamat.2018.07.042
109,0,23.8,23.8,23.8,5,23.8,0,182,10.1016/j.actamat.2018.07.042
110,0,22.5,22.5,22.5,10,22.5,0,172,10.1016/j.actamat.2018.07.042
111,0,16.7,16.7,16.7,33.3,16.7,0,157,10.1016/j.actamat.2018.07.042
112,0,22.5,22.5,22.5,22.5,10,0,170,10.1016/j.actamat.2018.07.042
113,0,21.3,21.3,21.3,21.3,15,0,167,10.1016/j.actamat.2018.07.042
114,0,16.7,16.7,16.7,16.7,33.3,0,158,10.1016/j.actamat.2018.07.042
115,0,26.7,26.7,0,26.7,20,0,140,10.1016/j.actamat.2018.07.042
116,0,20,20,0,20,40,0,125,10.1016/j.actamat.2018.07.042
117,14.3,14.3,14.3,0,14.3,42.9,0,242,10.1016/j.actamat.2018.07.042
118,15.4,15.4,15.4,0,15.4,38.5,0,265,10.1016/j.actamat.2018.07.042
119,16.7,16.7,16.7,0,16.7,33.3,0,335,10.1016/j.actamat.2018.07.042
120,0,28.3,28.3,0,28.3,15,0,170,10.1016/j.actamat.2018.07.042
121,18.2,18.2,18.2,0,18.2,27.3,0,503,10.1016/j.actamat.2018.07.042
122,21.3,21.3,21.3,0,21.3,15,0,555,10.1016/j.actamat.2018.07.042
123,22.5,22.5,22.5,0,22.5,10,0,548,10.1016/j.actamat.2018.07.042
124,23.8,23.8,23.8,0,23.8,5,0,615,10.1016/j.actamat.2018.07.042
125,25,25,25,0,25,0,0,720,10.1016/j.actamat.2018.07.042
126,23.8,5,23.8,0,23.8,23.8,0,550,10.1016/j.actamat.2018.07.042
127,22.5,10,22.5,0,22.5,22.5,0,539,10.1016/j.actamat.2018.07.042
128,23.8,23.8,5,0,23.8,23.8,0,438,10.1016/j.actamat.2018.07.042
129,22.5,22.5,10,0,22.5,22.5,0,476,10.1016/j.actamat.2018.07.042
130,22.5,22.5,22.5,0,10,22.5,0,587,10.1016/j.actamat.2018.07.042
131,21.3,21.3,21.3,0,15,21.3,0,558,10.1016/j.actamat.2018.07.042
132,16.7,16.7,16.7,0,33.3,16.7,0,510,10.1016/j.actamat.2018.07.042
133,40,20,20,0,20,0,0,775,10.1016/j.actamat.2018.07.042
134,0,25,25,0,25,25,0,140,10.1016/j.actamat.2018.07.042
135,25,25,0,0,25,25,0,410,10.1016/j.actamat.2018.07.042
136,20,20,20,0,20,20,0,510,10.1016/j.actamat.2018.07.042
137,0,20,20,0,20,20,20,145,10.1002/adma.202004029
138,5,0,12,0,35,20,28,359,10.1126/sciadv.aaz4748
139,11.11,0,22.22,0,33.33,11.11,22.22,396,10.1103/PhysRevLett.87.156401
140,14.5,17.1,17.1,17.1,17.1,17.1,0,271,10.1103/PhysRevLett.65.353
141,16.7,16.7,16.7,16.7,16.7,16.7,0,406,10.1103/PhysRevLett.65.353
142,19.4,16.12,16.12,16.12,16.12,16.12,0,481,10.1103/PhysRevLett.65.353
143,35.1,12.99,12.99,12.99,12.99,12.99,0,661,10.1103/PhysRevLett.65.353
144,11.1,22.2,22.2,0,22.2,22.2,0,240,10.1103/PhysRevLett.65.353
145,14.9,21.3,21.3,0,21.3,21.3,0,328,10.1103/PhysRevLett.65.353
146,16.7,20.9,20.9,0,20.9,20.9,0,379,10.1103/PhysRevLett.65.353
147,23.1,19.2,19.2,0,19.2,19.2,0,481,10.1103/PhysRevLett.65.353
148,27.3,18.2,18.2,0,18.2,18.2,0,484,10.1103/PhysRevLett.65.353
149,45.2,13.7,13.7,0,13.7,13.7,0,740,10.1103/PhysRevLett.65.353
150,5.7,0,18.7,18.7,18.7,37.4,0,169,10.1103/PhysRevLett.65.353
151,7.4,0,18.5,18.5,18.5,37,0,200,10.1103/PhysRevLett.65.353
152,9.1,0,18.1,18.1,18.1,36.2,0,240,10.1103/PhysRevLett.65.353
153,12.3,0,17.5,17.5,17.5,35,0,291,10.1103/PhysRevLett.65.353
154,13.8,0,17.2,17.2,17.2,34.4,0,322,10.1103/PhysRevLett.65.353
155,15.3,0,16.9,16.9,16.9,33.8,0,338,10.1103/PhysRevLett.65.353
156,16.7,0,16.7,16.7,16.7,33.4,0,389,10.1103/PhysRevLett.65.353
157,19.4,0,16.1,16.1,16.1,32.2,0,522,10.1103/PhysRevLett.65.353
158,28.6,0,14.3,14.3,14.3,28.6,0,572,10.1103/PhysRevLett.65.353
159,33.3,0,13.3,13.3,13.3,26.6,0,600,10.1103/PhysRevLett.65.353
160,0,5,23.75,0,23.75,23.75,23.75,154,10.1038/s41524-019-0151-x
161,20,20,20,20,0,20,0,419,10.1103/ PhysRevLett.116.105501
162,43,6,33,6,6,6,0,764,10.1038/s41467-018-03846-0
163,42.9,14.3,7.1,7.1,7.1,21.4,0,591,10.1038/s41467-018-03846-0
164,42.9,21.4,7.1,7.1,7.1,14.3,0,701,10.1038/s41467-018-03846-0
165,40,13.3,6.7,13.3,20,6.7,0,768,10.1038/s41467-018-03846-0
166,46.2,15.4,7.7,7.7,15.4,7.7,0,702,10.1038/s41467-018-03846-0
167,42.9,7.1,14.3,7.1,14.3,14.3,0,694,10.1038/s41467-018-03846-0
168,7,0,23.3,0,23.3,46.5,0,149,10.1038/s41467-018-03846-0
169,11.1,0,22.2,0,22.2,44.4,0,229,10.1038/s41467-018-03846-0
170,13,0,28,22,6,31,0,459,10.1038/s41467-018-03846-0
171,12,0,31,21,5,31,0,469,10.1038/s41467-018-03846-0
172,12,0,31,20,5,32,0,483,10.1038/s41467-018-03846-0
173,10,0,35,25,5,25,0,472,10.1038/s41467-018-03846-0
174,10,0,35,26,5,24,0,454,10.1038/s41467-018-03846-0
175,10,0,35,24,5,26,0,441,10.1038/s41467-018-03846-0
176,11,0,29,29,5,26,0,495,10.1038/s41467-018-03846-0
177,11,0,28,29,7,25,0,477,10.1038/s41467-018-03846-0
178,11,0,28,27,6,28,0,469,10.1038/s41467-018-03846-0
1-Aug,43,22,23,0,7,5,0,785.6,12.4
2-Aug,47,20,18,5,5,5,0,771.1,16.1
3-Aug,43,22,22,0,8,5,0,783.7,10.1
4-Aug,47,19,19,5,5,5,0,771.9,12.8
5-Aug,51,22,19,0,0,4,4,797.1,14.6
6-Aug,49,22,19,2,2,4,2,792.2,13.7
7-Aug,52,22,18,0,4,4,0,804.3,18.2
S-1,52,24,18,0,0,4,2,815.4,16.3
S-2,54,22,18,0,0,4,2,814.5,23.5
S-3,53,19,18,0,4,4,2,801.8,17.1
S-4,51,23,18,0,0,4,4,792.2,13.7
